ConvertedComp,Prediction
149941.0,66287.54885115135
193889.0,77492.60539044226
81074.0,56661.067958366984
25944.0,66260.53351820979
102693.0,105920.80771073395
45401.0,89540.6127729489
155111.0,69788.71078890793
71093.0,49816.841053333395
66569.0,84344.02936594174
64860.0,82531.83827842103
56723.0,51317.17894035607
32429.0,59870.3526835063
75669.0,62192.783158659004
66804.0,66213.0758627838
70264.0,57325.87070268304
70264.0,83003.37163964458
22056.0,47263.40370309704
28536.0,38186.33001833947
86478.0,78075.89476489207
71345.0,77717.69589934844
59459.0,57059.88236140561
77556.0,100247.25433150196
90758.0,87624.86680205901
26674.0,57830.87676454838
82726.0,87791.45870723172
57072.0,65426.20176367992
58167.0,62035.04095772399
83236.0,62755.340430009026
56208.0,70579.81316148395
32315.0,58680.99281513941
75669.0,72511.15107486797
175112.0,86031.6976411017
92964.0,74206.7831009167
59454.0,58034.80289558461
97288.0,59426.87036670271
62396.0,56487.35484122511
60505.0,73111.97609686747
93067.0,76005.08429955647
25944.0,34262.57022089076
38778.0,58207.947230660204
51429.0,59528.479143467026
71340.0,69725.18151017894
62697.0,49225.90223216106
113503.0,68072.41310235282
118908.0,81386.93809380865
55967.0,48126.50287101458
90482.0,50087.88022143004
59454.0,60264.03126367552
47826.0,56563.194484696105
77556.0,56435.77488374645
19452.0,29600.005062204535
81074.0,59520.068318219455
88640.0,65517.874690694756
60535.0,77572.36671998809
193889.0,76066.30384121824
43018.0,52650.31930128434
64859.0,69840.6218683235
45396.0,46885.34585731372
32429.0,48275.41156628523
44100.0,62617.38021956879
58368.0,59274.949219028036
72426.0,50459.248490993734
108098.0,97863.06328004443
103776.0,90679.24874366654
94618.0,88146.10402244212
102693.0,89937.88087714772
183767.0,97213.31264560195
49296.0,57001.60399847379
89245.0,72159.70797439512
58373.0,56056.755961195544
28437.0,47726.988524017455
170622.0,90894.46905843707
25944.0,50095.92310788925
58368.0,79351.55284230612
162147.0,104731.34021516892
42804.0,73813.15068119789
84316.0,81826.96618793339
45241.0,49254.61295418377
25944.0,49516.25945652652
118908.0,74841.85153673386
81074.0,106794.97259405161
19452.0,44020.789599659955
184195.0,55617.24065549315
57292.0,57841.62415190443
64859.0,57915.11832393417
86478.0,69379.66079411155
60972.0,57822.869934234455
62018.0,94374.76211500989
49160.0,86822.6930580683
64630.0,68033.10872876846
65799.0,56214.33950905257
135100.0,73126.09281637201
